"source";"translation";"type";"module";"status";"customer"
"lang_code";"sk";"M";"";"T";"N"
"lang_name";"Slovenský Jazyk";"M";"";"T";"N"
"lang_english_name";"Slovak";"M";"";"T";"N"
"lang_author";"Bystrík Káčer - www.proviznysystem.sk";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"75";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Licencia";"S";"";"T";"N"
"You have to agree license.";"Musíte súhlasiť s licenciou.";"B";"";"T";"N"
"Installation Completed";"Dokončenie inštalácie";"B";"";"T";"N"
"Safe Mode";"Safe Mode ";"S";"";"T";"N"
"Display Errors";"Zobrazenie chýb";"S";"";"T";"N"
"File Uploads";"Nahrávanie súborov";"S";"";"T";"N"
"Register Globals";"Register Globals ";"S";"";"T";"N"
"Session Auto Start";"Session Auto Start ";"S";"";"T";"N"
"On";"Zapnuté";"B";"";"T";"N"
"Off";"Vypnuté";"B";"";"T";"N"
"Configuration directory is writable";"Konfiguračný adresár je zapisovateľný";"S";"";"T";"N"
"Configuration directory has to be writable";"Konfiguračný adresár musí byť zapisovateľný";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Uistite sa, že adresár <strong>%s</strong> a všetky jeho podadresáre sú webserverom zapisovateľné.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"Na systémoch, ktoré bežia na UNIX-e môžete zadať ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"Práva na zápis môžete nastaviť s použitím akéhokoľvek FTP klienta.";"S";"";"T";"N"
"PHP include path";"PHP include path ";"S";"";"T";"N"
"Could not set PHP include path";"Nepodarilo sa nastaviť PHP include path";"S";"";"T";"N"
