"source";"translation";"type";"module";"status";"customer"
"lang_code";"el";"M";"";"T";"N"
"lang_name";"Greek";"M";"";"T";"N"
"lang_english_name";"Greek";"M";"";"T";"N"
"lang_author";"Herbal Technologies B.V.";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"66";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Άδεια";"S";"";"T";"N"
"You have to agree license.";"Πρέπει να συμφωνήσετε άδεια.";"B";"";"T";"N"
"Installation Completed";"Η εγκατάσταση ολοκληρώθηκε";"B";"";"T";"N"
"Safe Mode";"Ασφαλή Λειτουργία";"S";"";"T";"N"
"Display Errors";"Εμφάνιση Σφαλμάτων";"S";"";"T";"N"
"File Uploads";"Ανέβασμα Αρχείων";"S";"";"T";"N"
"Register Globals";"Καταχώριση Globals";"S";"";"T";"N"
"Session Auto Start";"Αυτόματη Εκκίνηση ";"S";"";"T";"N"
"On";"Ανοιχτό";"B";"";"T";"N"
"Off";"Κλειστό";"B";"";"T";"N"
"Configuration directory is writable";"Ρύθμιση καταλόγου είναι εγγράψιμη";"S";"";"T";"N"
"Configuration directory has to be writable";"Ρύθμιση καταλόγου πρέπει να είναι εγγράψιμη";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Παρακαλούμε να κάνετε τον κατάλογο %s και όλους τους υποκαταλόγους εγγράψιμους από τον διακομιστή.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"Στο unix-like συστήματα μπορείτε να πληκτρολογήσετε ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"Σε οποιοδήποτε σύστημα μπορείτε να ορίσετε δικαιώματα εγγραφής χρησιμοποιώντας το αγαπημένο σας πρόγραμμα FTP.";"S";"";"T";"N"
