"source";"translation";"type";"module";"status";"customer"
"lang_code";"uk";"M";"";"T";"N"
"lang_name";"Українська";"M";"";"T";"N"
"lang_english_name";"Українська";"M";"";"T";"N"
"lang_author";"affiliate.com.ua";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"d/MM/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"67";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Ліцензія";"S";"";"T";"N"
"You have to agree license.";"Ви повинні погодитися з умовами ліцензії.";"B";"";"T";"N"
"Installation Completed";"Інсталяція завершена";"B";"";"T";"N"
"Safe Mode";"Безпечний режим";"S";"";"T";"N"
"Display Errors";"Показувати помилки";"S";"";"T";"N"
"File Uploads";"Передача файлів";"S";"";"T";"N"
"Register Globals";"Реєструвати глобальні змінні";"S";"";"T";"N"
"Session Auto Start";"Автоматичний початок сесії";"S";"";"T";"N"
"On";"Вкл.";"B";"";"T";"N"
"Off";"Викл.";"B";"";"T";"N"
"Configuration directory is writable";"Запис у директорію налаштувань дозволений";"S";"";"T";"N"
"Configuration directory has to be writable";"Запис у директорію налаштувань повинна бути дозволений";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Будь ласка, дозвольте запис в директорію %s і всі піддиректорії.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"На системах сімейства Unix Ви можете набрати ”chmod -R 777 %s”.";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"Ви можете встановити дозвіл на запис на будь-якій системі за допомогою вашого улюбленого FTP-клієнта.";"S";"";"T";"N"
"PHP include path";"Шлях до PHP include";"S";"";"T";"N"
"Could not set PHP include path";"Неможливо встановити шлях до PHP include";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Будь ласка, налаштуйте PHP так, щоб скрипт міг змінити include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Альтернативний варіант - Ви можете самостійно вказати include_path у файлі php.ini. include_path =%s";"S";"";"T";"N"
"MySQL extension is installed";"Розширення MySQL встановлено";"S";"";"T";"N"
"MySQL extension is not installed";"Розширення MySQL не встановлено";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"Будь ласка, включіть розширення MySQL. Детальна інформація на http://www.mysql.ru/docs/man/";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Будь ласка, встановіть версію MySQL %s або вище. Ваша поточна версія %s. Детальна інформація: http://www.mysql.ru/docs/";"S";"";"T";"N"
"Please check system requirements and try again";"Будь ласка, перевірте системні вимоги і спробуйте знову";"S";"";"T";"N"
"Welcome";"Привітання";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"Вам треба вказати статус кампанії (поле rstatus)";"S";"";"T";"N"
"Campaigns";"Кампанії";"B";"";"T";"N"
"Overview";"Огляд";"B";"";"T";"N"
"Campaigns Manager";"Робота з кампаніями";"S";"";"T";"N"
"Banners";"Банери";"B";"";"T";"N"
"Banners Manager";"Робота з банерами";"B";"";"T";"N"
"Affiliates";"Партнери";"B";"";"T";"N"
"Affiliates Manager";"Робота з партнерами";"S";"";"T";"N"
"DirectLinks Urls";"URL-адреси прямих посилань";"S";"";"T";"N"
"Transactions";"Транзакції";"B";"";"T";"N"
"Commissions";"Комісії";"B";"";"T";"N"
"Reports";"Звіти";"B";"";"T";"N"
"Trends report";"Діаграми";"B";"";"T";"N"
"Payouts history";"Історія виплат";"B";"";"T";"N"
"Payouts by affiliate";"Виплати по партнерам";"B";"";"T";"N"
"Payouts";"Виплати";"B";"";"T";"N"
"Pay affiliates";"Заплатити партнерам";"B";"";"T";"N"
"Communication";"Спілкування";"B";"";"T";"N"
"Send message";"Надіслати повідомлення";"S";"";"T";"N"
"Configuration";"Конфігурація";"B";"";"T";"N"
"Tracking settings";"Налаштування відстеження";"B";"";"T";"N"
"Affiliate panel";"Панель управління партнера";"C";"";"T";"N"
"Tools";"Інструменти";"B";"";"T";"N"
"Integration";"Інтеграція";"B";"";"T";"N"
"Import / Export";"Імпорт / Експорт";"B";"";"T";"N"
"Event logs";"Журнали подій";"B";"";"T";"N"
"Online users";"Користувачі в мережі";"B";"";"T";"N"
"Database status";"Статус бази даних";"B";"";"T";"N"
"User cannot be found";"Користувач не знайдений";"S";"";"T";"N"
"Email was successfully sent to merchant";"Повідомлення продавцю було надіслано";"S";"";"T";"N"
"Email notifications saved";"Повідомлення електронної пошти збережено";"S";"";"T";"N"
"Banner";"Банер";"B";"";"T";"N"
"none active";"немає активних";"S";"";"T";"N"
"per click";"за клік";"B";"";"T";"N"
"per sale";"за продаж";"B";"";"T";"N"
"ID";"Id";"B";"";"T";"N"
"Name";"Назва";"B";"";"T";"N"
"Description";"Опис";"B";"";"T";"N"
"Status";"Статус";"B";"";"T";"N"
"Date created";"Створений";"S";"";"T";"N"
"Actions";"Дії";"B";"";"T";"N"
"Channel";"Канал";"B";"";"T";"N"
"Failed to save %s field(s)";"Не вдалося зберегти %s поля(-ів)";"S";"";"T";"N"
"%s field(s) successfully saved";"%s поля(-ів) збережені";"S";"";"T";"N"
"User";"Користувач";"B";"";"T";"N"
"Channel name";"Назва каналу";"S";"";"T";"N"
"Pattern didn't matched the URL, check your pattern";"Шаблон не збігається з URL, перевірте свій шаблон";"S";"";"T";"N"
"Pattern matched the URL";"Шаблон збігся з URL";"S";"";"T";"N"
"Login";"Логін";"B";"";"T";"N"
"First name";"Ім'я";"B";"";"T";"N"
"Last name";"Прізвище";"B";"";"T";"N"
"Referral ID";"ID для партнерського посилання";"B";"";"T";"N"
"I agree with terms & conditions";"Я приймаю Умови та положення";"B";"";"T";"N"
"Cannot find invoice";"Не вдалося знайти рахунок";"S";"";"T";"N"
"Affiliate";"Партнер";"B";"";"T";"N"
"Date of registration";"Дата реєстрації";"S";"";"T";"N"
"Commission";"Комісія";"B";"";"T";"N"
"Total cost";"Загальна вартість";"B";"";"T";"N"
"Order ID";"ID замовлення";"B";"";"T";"N"
"Product ID";"ID товару";"B";"";"T";"N"
"Created";"Створений";"B";"";"T";"N"
"Campaign Name";"Назва кампанії";"B";"";"T";"N"
"Type";"Тип";"B";"";"T";"N"
"Affiliate username";"Ім'я користувача партнера";"S";"";"T";"N"
"Paid";"оплачений";"B";"";"T";"N"
"Ip";"IP";"S";"";"N";"N"
"Referer";"Реферер";"B";"";"T";"N"
"Recurring commison id";"ID рекурсивної комісії";"S";"";"T";"N"
"Payout history id";"ID історії виплат";"B";"";"T";"N"
"Click count";"Кількість кліків";"S";"";"T";"N"
"First click time";"Час першого кліка";"S";"";"T";"N"
"First click referer";"Реферер першого кліка";"S";"";"T";"N"
"First click ip";"IP-адресу першого кліка";"S";"";"T";"N"
"First click data 1";"Дані першого кліка 1";"S";"";"T";"N"
"First click data 2";"Дані першого кліка 2";"S";"";"T";"N"
"Last click time";"Час останнього кліка";"S";"";"T";"N"
"Last click referer";"Реферер останнього кліка";"S";"";"T";"N"
"Last click ip";"IP-адресу останнього кліка";"S";"";"T";"N"
"Last click data 1";"Дані останнього кліка 1";"S";"";"T";"N"
"Last click data 2";"Дані останнього кліка 2";"S";"";"T";"N"
"Extra data 1";"Додаткові дані 1";"B";"";"T";"N"
"Extra data 2";"Додаткові дані 2";"B";"";"T";"N"
"Extra data 3";"Додаткові дані 3";"S";"";"T";"N"
"Extra data 4";"Додаткові дані 4";"S";"";"T";"N"
"Extra data 5";"Додаткові дані 5";"S";"";"T";"N"
"Merchant note";"Нотатки продавця";"B";"";"T";"N"
"Banner name";"Назва банера";"B";"";"T";"N"
"Banner preview";"Попередній перегляд банера";"S";"";"T";"N"
"Campaign";"Кампанія";"B";"";"T";"N"
"Target URL";"URL-адреса одержувача";"B";"";"T";"N"
"Banner type";"Тип банера";"S";"";"T";"N"
"Html data is not defined";"HTML дані не вказані";"S";"";"T";"N"
"File name is not defined";"Назва файлу не вказано";"S";"";"T";"N"
"unknown";"невідомо";"B";"";"T";"N"
"approved";"схвалено";"B";"";"T";"N"
"pending";"на розгляді";"B";"";"T";"N"
"User Id";"ID користувача";"S";"";"T";"N"
"Payment date";"Дата оплати";"S";"";"T";"N"
"Username";"Ім'я користувача";"B";"";"T";"N"
"Amount";"Сума";"B";"";"T";"N"
"Note to affiliate";"Нотатка для партнера";"S";"";"T";"N"
"Original currency ID";"ID первісної валюти";"S";"";"T";"N"
"Original currency rate";"Курс первісної валюти";"S";"";"T";"N"
"Original currency value";"Значення первісної валюти";"S";"";"T";"N"
"System note";"Нотатка системи";"B";"";"T";"N"
"Country code";"Код країни";"B";"";"T";"N"
"Affiliate first name";"Ім'я партнера";"S";"";"T";"N"
"Affiliate last name";"Прізвище партнера";"S";"";"T";"N"
"3rd party cookie";"Зовнішній файл cookie";"B";"";"T";"N"
"1st party cookie";"Власний файл cookie";"B";"";"T";"N"
"Flash cookie";"Файл Flash cookie";"B";"";"T";"N"
"Forced parameter";"Примусовий параметр";"B";"";"T";"N"
"IP address";"IP-адреса";"B";"";"T";"N"
"Default affiliate";"Партнер за замовчуванням";"B";"";"T";"N"
"Url";"URL-адреса";"B";"";"T";"N"
"Note";"Примітка";"B";"";"T";"N"
"Status does not have allowed value";"Статус не має дозволених значень";"S";"";"T";"N"
"Selected username already exists";"Обране ім'я користувача вже існує";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Не вдалося змінити статус користувача %s";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Статус користувача %s успішно змінено";"S";"";"T";"N"
"Password";"Пароль";"B";"";"T";"N"
"Title must be unique";"Назва повинна бути унікальна";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Обраний батьківський партнер не існує";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Не вдалося завантажити файл %s із-за помилки: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Продавець - Реєстрація нового користувача";"B";"";"T";"N"
"New user signed up";"Новий користувач зареєстрований";"B";"";"T";"N"
"Email subject";"Тема повідомлення";"S";"";"T";"N"
"Email text";"Текст повідомлення";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Продавець - Партнер заповнив форму зворотного зв'язку";"B";"";"T";"N"
"Affiliate filled Contact us form";"Партнер заповнив форму зворотного зв'язку";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Продавець – Новий продаж / лід";"B";"";"T";"N"
"New sale / lead";"Новий продаж / лід";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Партнер - Реєстрація нового користувача схвалена";"B";"";"T";"N"
", welcome to our affiliate program";", ласкаво просимо в нашу партнерську програму";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Партнер - Реєстрація нового користувача до схвалення";"B";"";"T";"N"
"Paid amount";"Сплачена сума";"S";"";"T";"N"
"Paid currency";"Валюта оплати";"S";"";"T";"N"
"Payout method";"Метод виплати";"B";"";"T";"N"
"Affiliate - On payout";"Партнер - Після виплати";"B";"";"T";"N"
"Your commissions";"Ваша комісія";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Партнер - Нові продажі / ліди субпартнеров";"B";"";"T";"N"
"New subaffiliate sale / lead";"Нові продажі / ліди субпартнеров";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Партнер - Реєстрація нового субпартнера";"B";"";"T";"N"
"New subaffiliate signed up";"Новий субпартнер зареєстрований";"B";"";"T";"N"
"VAT percentage";"Відсоток ПДВ";"B";"";"T";"N"
"VAT number";"Номер платника ПДВ";"B";"";"T";"N"
"Registration number";"Реєстраційний номер";"B";"";"T";"N"
"VAT part";"Частина ПДВ";"B";"";"T";"N"
"Payment incl. VAT";"Платіж, включаючи ПДВ";"B";"";"T";"N"
"Payment excl. VAT";"Платіж без ПДВ";"B";"";"T";"N"
"Affiliate - On VAT payout";"Партнер - Виплата ПДВ";"B";"";"T";"N"
"Transaction ID";"ID транзакції";"B";"";"T";"N"
"TotalCost";"Загальна вартість";"S";"";"T";"N"
"Campaign ID";"ID кампанії";"S";"";"T";"N"
"Referer URL";"URL-адреса реферера";"S";"";"T";"N"
"First click - time";"Перший клік – час";"S";"";"T";"N"
"First click - referer";"Перший клік – реферер";"S";"";"T";"N"
"First click - IP";"Перший клік - IP адреса";"S";"";"T";"N"
"First click - data1";"Перший клік – дані 1";"S";"";"T";"N"
"First click - data2";"Перший клік – дані 2";"S";"";"T";"N"
"Last click - time";"Останній клік - час";"S";"";"T";"N"
"Last click - referer";"Останній клік - реферер";"S";"";"T";"N"
"Last click - IP";"Останній клік - IP-адреса";"S";"";"T";"N"
"Last click - data1";"Останній клік - дані 1";"S";"";"T";"N"
"Last click - data2";"Останній клік - дані 2";"S";"";"T";"N"
"Transaction data1";"Транзакція - дані 1";"S";"";"T";"N"
"Transaction data2";"Транзакція - дані 2";"S";"";"T";"N"
"Transaction data3";"Транзакція - дані 3";"S";"";"T";"N"
"Transaction data4";"Транзакція - дані 4";"S";"";"T";"N"
"Transaction data5";"Транзакція - дані 5";"S";"";"T";"N"
"Note to merchant";"Нотатка для продавця";"S";"";"T";"N"
"Original currency";"Первісна валюта";"S";"";"T";"N"
"Banner does not exist";"Банер не існує";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Помилка сервера: Невідомий тип виданий для BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Банер збережений";"S";"";"T";"N"
"Clicks";"Кліки";"B";"";"T";"N"
"CTR";"CTR";"S";"";"N";"N"
"Order";"Замовлення";"B";"";"T";"N"
"BannersImportExportDescription";"Визначення банерів - візьміть до уваги, що імпортуються та експортуються тільки визначення, а не самі файли зображень";"B";"";"T";"N"
"Campaign does not exist";"Такий кампанії не існує";"S";"";"T";"N"
"Campaign capping saved";"Обмеження кампанії збережені";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"У терміні дії кампанії (у графі Активна до) потрібно встановити кількість транзакцій";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"У терміні дії кампанії (у графі Активна в проміжку) відсутні дати Від і До";"S";"";"T";"N"
"Commission successfully computed";"Комісія успішно розрахована";"S";"";"T";"N"
"User is not valid!";"Користувач недійсний!";"S";"";"T";"N"
"Campaign is not valid!";"Кампанія недійсна!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Тип транзакції недійсний або не існує в даній кампанії!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Не вдається розпізнати групу комісій для цього користувача в кампанії!";"S";"";"T";"N"
"Error getting commission settings!";"Помилка при отриманні налаштувань комісій!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Помилка, для комісій у відсотках. Ви повинні встановити Загальну вартість!";"S";"";"T";"N"
"You cannot delete default campaign";"Ви не можете видалити кампанію за замовчуванням";"S";"";"T";"N"
"Default";"За замовчуванням";"B";"";"T";"N"
"per sale / lead";"за продаж / лід";"B";"";"T";"N"
"CampaignsImportExportDescription";"Кампанії та налаштування розміру комісій";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"Завантаження груп комісій: поле ID кампанії порожньо";"S";"";"T";"N"
