"source";"translation";"type";"module";"status";"customer"
"lang_code";"fi";"M";"";"T";"N"
"lang_name";"Suomi";"M";"";"T";"N"
"lang_english_name";"Finnish";"M";"";"T";"N"
"lang_author";"Herbal Technologies B.V.";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/dd/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"64";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Lisenssi";"S";"";"T";"N"
"You have to agree license.";"Sinun täytyy hyväksyä lisennsi.";"B";"";"T";"N"
"Installation Completed";"Asennus on valmis";"B";"";"T";"N"
"Safe Mode";"Turva tila";"S";"";"T";"N"
"Display Errors";"Näytä virheet";"S";"";"T";"N"
"File Uploads";"Ladatut tiedostot";"S";"";"T";"N"
"Register Globals";"Globaali rekisteri";"S";"";"T";"N"
"Session Auto Start";"Istunnon automaattinen käynnistys";"S";"";"T";"N"
"On";"Päällä";"B";"";"T";"N"
"Off";"Pois käytöstä";"B";"";"T";"N"
"Configuration directory is writable";"Hakemiston kokoonpano muokattavissa";"S";"";"T";"N"
"Configuration directory has to be writable";"Hakemiston kokoonpanon pitää olla muokattavissa";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Tee kaikista hakemistoista %s ja alahakemistoista muokattavia tällä serverillä.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"Unix:in kaltaisissa systeemeissä voit kirjoittaa ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"Kaikissa systeemeissä voit antaa muokkaus oikkeuksia käyttämällä suosikki FTP asiakastasi.";"S";"";"T";"N"
"PHP include path";"PHP sisältää polun";"S";"";"T";"N"
"Could not set PHP include path";"Could not set PHP include path";"S";"";"N";"N"
"Please configure your PHP so that script is able to change include_path.";"Ole hyvä ja määritä PHP osoitteesi jotta skripti pystyy muuttamaan include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Vaihtoehtoisesti voit muuttaa include_path suoraan käyttämällä php.ini. include_path=%s";"S";"";"T";"N"
"MySQL extension is installed";"MySQL lisäosa on asennettu";"S";"";"T";"N"
"MySQL extension is not installed";"MySQL lisäosa ei ole asennetu";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"Ole hyvä ja ota käyttöön MySQL lisäosa. Lue lisää osoitteessa http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Ole hyvä ja asenna MySQL versio %s tai uudempi. Käytössä oleva versiosi on %s. Lue lisää osoitteessa http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"Ole hyvä ja tarkista järjestelmän vaatimukset ja yritä uudelleen";"S";"";"T";"N"
"Welcome";"Tervetuloa";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"Sinun on määriteltävä kampanjasi tila (rstatus field)";"S";"";"T";"N"
"Campaigns";"Kampanjat";"B";"";"T";"N"
"Overview";"Yleiskatsaus";"B";"";"T";"N"
"Campaigns Manager";"Kampanjoiden hallinta";"S";"";"T";"N"
"Banners";"Bannerit";"B";"";"T";"N"
"Banners Manager";"Bannereiden hallinta";"B";"";"T";"N"
"Affiliates";"Affiliate";"B";"";"T";"N"
"Affiliates Manager";"Affiliate hallinta";"S";"";"T";"N"
"DirectLinks Urls";"Suorienn linkkien Urls";"S";"";"T";"N"
"Transactions";"Maksuliikenne";"B";"";"T";"N"
"Commissions";"Komissiot";"B";"";"T";"N"
"Reports";"Raportit";"B";"";"T";"N"
