"source";"translation";"type";"module";"status";"customer"
"lang_code";"zh-CN";"M";"";"T";"N"
"lang_name";"简体中文";"M";"";"T";"N"
"lang_english_name";"Simplified Chinese";"M";"";"T";"N"
"lang_author";"4418.com";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"70";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"许可证";"S";"";"T";"N"
"You have to agree license.";"您必须同意此许可证。";"B";"";"T";"N"
"Installation Completed";"安装完成";"B";"";"T";"N"
"Safe Mode";"安全模式";"S";"";"T";"N"
"Display Errors";"显示错误";"S";"";"T";"N"
"File Uploads";"文件上传";"S";"";"T";"N"
"Register Globals";"全局注册";"S";"";"T";"N"
"Session Auto Start";"对话自动开始";"S";"";"T";"N"
"On";"启动";"B";"";"T";"N"
"Off";"关闭";"B";"";"T";"N"
"Configuration directory is writable";"配置目录是可写的";"S";"";"T";"N"
"Configuration directory has to be writable";"配置目录必须是可写的";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"请使所有的目录%s和子目录可以被服务器写入。";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"在类Unix的系统中你可以键入 ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"你可以使用您喜欢的FTP软件客户端在任何系统中设置写入权限。";"S";"";"T";"N"
"PHP include path";"包含PHP文件的路径";"S";"";"T";"N"
"Could not set PHP include path";"不能设置包含PHP文件的路径";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"为使脚本能改变include_path参数，请配置您的PHP。";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"或者您可通过php.ini文件中的include_path=%s参数直接设置include_path";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"请启动MySQL数据(Data)库扩展。获取更过信息，请访问 http://php.net/mysql";"S";"";"T";"N"
