"source";"translation";"type";"module";"status";"customer"
"lang_code";"ja";"M";"";"T";"N"
"lang_name";"日本語";"M";"";"T";"N"
"lang_english_name";"Japanese";"M";"";"T";"N"
"lang_author";"Noka, Shigekazu, Seiichi Miyanohara";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"yyyy/MM/dd";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"70";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"ライセンス";"S";"";"T";"N"
"You have to agree license.";"ライセンスにご同意願います。";"B";"";"T";"N"
"Installation Completed";"インストール完了";"B";"";"T";"N"
"Safe Mode";"セーフモード";"S";"";"T";"N"
"Display Errors";"ディスプレイエラー";"S";"";"T";"N"
"File Uploads";"ファイルアップロード";"S";"";"T";"N"
"Register Globals";"Register Globals";"S";"";"N";"N"
"Session Auto Start";"セッション自動開始";"S";"";"T";"N"
"On";"オン";"B";"";"T";"N"
"Off";"オフ";"B";"";"T";"N"
"Configuration directory is writable";"設定ディレクトリは書込可能です。";"S";"";"T";"N"
"Configuration directory has to be writable";"設定ディレクトリは書込可能である必要があります。";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"%sディレクトリ以下の全てのサブディレクトリにウェブサーバーが書込可能にして下さい。";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"UNIX系のシステムなら「chmod -R 777 %s」とタイプします。";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"どのようなシステムであってご愛用のFTPクライアントを使って書込許可にセットできます。";"S";"";"T";"N"
"PHP include path";"PHPのインクルードパス";"S";"";"T";"N"
"Could not set PHP include path";"PHPのインクルードパスがセットできません。";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"PHPを設定して、スクリプトがインクルードパスを変更できるようにして下さい。";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"他の方法としては、php.ini. include_path=%sのようにinclude_path を直接セットできます。";"S";"";"T";"N"
"MySQL extension is installed";"MySQLエクステンションがインストールされました。";"S";"";"T";"N"
"MySQL extension is not installed";"MySQLエクステンションがインストールされていません。";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"MySQLエクステンションを有効にして下さい。（参考サイト　http://php.net/mysql）";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"バージョン%s以上のMySQLをインストールして下さい。現在のバージョンは%sです。（参考 http://myqsl.net/）";"S";"";"T";"N"
"Please check system requirements and try again";"システム稼動必要条件をチェックして、再度お試し下さい。";"S";"";"T";"N"
"Welcome";"ようこそ！";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"キャンペーンのステータス (rstatus field)を特定する必要があります。";"S";"";"T";"N"
"Campaigns";"キャンペーン";"B";"";"T";"N"
"Overview";"概要";"B";"";"T";"N"
"Campaigns Manager";"キャンペーンマネージャー";"S";"";"T";"N"
"Banners";"バナー";"B";"";"T";"N"
"Banners Manager";"バナーマネージャー";"B";"";"T";"N"
"Affiliates";"アフィリエイト";"B";"";"T";"N"
"Affiliates Manager";"アフィリエイトマネージャー";"S";"";"T";"N"
"DirectLinks Urls";"DirectLinks Urls";"S";"";"N";"N"
"Transactions";"トランザクション";"B";"";"T";"N"
"Commissions";"コミッション";"B";"";"T";"N"
"Reports";"レポート";"B";"";"T";"N"
"Trends report";"トレンド（傾向・推移）レポート";"B";"";"T";"N"
"Payouts history";"払い出し履歴";"B";"";"T";"N"
"Payouts by affiliate";"アフィリエイトによる払い出し";"B";"";"T";"N"
"Payouts";"払い出し";"B";"";"T";"N"
"Pay affiliates";"アフィリエイトへの支払";"B";"";"T";"N"
"Communication";"連絡・コミュニケーション";"B";"";"T";"N"
"Send message";"メッセージ送信";"S";"";"T";"N"
"Configuration";"設定";"B";"";"T";"N"
"Tracking settings";"トラッキング設定";"B";"";"T";"N"
"Affiliate panel";"アフィリエイトパネル";"C";"";"T";"N"
"Tools";"ツール";"B";"";"T";"N"
"Integration";"インテグレーション";"B";"";"T";"N"
